,u,v,u_name,v_name,u_coords,v_coords,dist,train_co2,airplane_co2,car_co2,modes
64,42,47,Hamburg,Umag,"(53.550341, 10.000654)","(45.4323587, 13.5224098)",937.9294361131213,0.013131012105583697,0.26730988929223953,0.18195831060594553,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
65,43,47,Newport,Umag,"(41.4899827, -71.3137707)","(45.4323587, 13.5224098)",6546.356423672479,0.09164898993141471,1.8657115807466564,1.2699931461924607,[<Mode.AIRPLANE: 0>]
66,44,47,Gstaad,Umag,"(46.4761004, 7.2873587)","(45.4323587, 13.5224098)",496.9649986609918,0.006957509981253885,0.14163502461838268,0.09641120974023241,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
67,45,47,Bastad,Umag,"(56.4267895, 12.8607151)","(45.4323587, 13.5224098)",1223.9584208981867,0.01713541789257461,0.3488281499559832,0.2374479336542482,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
68,46,48,Kitzbuhel,Atlanta,"(47.4463585, 12.3911473)","(33.7489924, -84.3902644)",7796.288709226294,0.1091480419291681,2.2219422821294934,1.512480009589901,[<Mode.AIRPLANE: 0>]
69,47,48,Umag,Atlanta,"(45.4323587, 13.5224098)","(33.7489924, -84.3902644)",7981.364125792789,0.11173909776109907,2.2746887758509446,1.548384640403801,[<Mode.AIRPLANE: 0>]
70,48,49,Atlanta,Washington,"(33.7489924, -84.3902644)","(38.8950368, -77.0365427)",872.4315734020432,0.012214042027628604,0.24864299841958235,0.1692517252399964,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
71,49,50,Washington,Montreal,"(38.8950368, -77.0365427)","(45.5031824, -73.5698065)",787.6754025951728,0.011027455636332421,0.2244874897396243,0.15280902810346353,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
72,50,51,Montreal,Cincinnati,"(45.5031824, -73.5698065)","(39.1014537, -84.5124602)",1147.0541058560368,0.016058757481984515,0.3269104201689705,0.22252849653607115,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
73,51,52,Cincinnati,Winson-Salem,"(39.1014537, -84.5124602)","(None, None)",9537.668932050534,0.13352736504870746,2.718235645634402,1.8503077728178035,[<Mode.AIRPLANE: 0>]
74,52,53,Winson-Salem,New York,"(None, None)","(40.7127281, -74.0060152)",8667.423493125378,0.12134392890375528,2.4702156955407326,1.6814801576663232,[<Mode.AIRPLANE: 0>]
75,58,59,Tokyo,Beijing,"(35.6821936, 139.762221)","(39.9057136, 116.3912972)",2104.602673604589,0.02946443743046425,0.599811761977308,0.4082929186792903,[<Mode.AIRPLANE: 0>]
76,59,60,Beijing,Shanghai,"(39.9057136, 116.3912972)","(31.2312707, 121.4700152)",1066.3910109961153,0.014929474153945613,0.30392143813389283,0.20687985613324636,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>]"
77,60,61,Shanghai,Almaty,"(31.2312707, 121.4700152)","(43.2363924, 76.9457275)",4114.8273547172985,0.05760758296604218,1.1727257960944302,0.7982765068151558,[<Mode.AIRPLANE: 0>]
78,60,62,Shanghai,Stockholm,"(31.2312707, 121.4700152)","(59.3251172, 18.0710935)",7781.337629498025,0.10893872681297236,2.2176812244069373,1.509579500122617,[<Mode.AIRPLANE: 0>]
79,60,63,Shanghai,Antwerp,"(31.2312707, 121.4700152)","(51.2211097, 4.3997081)",9000.89041494814,0.12601246580927397,2.56525376826022,1.7461727404999392,[<Mode.AIRPLANE: 0>]
80,61,64,Almaty,Vienna,"(43.2363924, 76.9457275)","(48.2083537, 16.3725042)",4624.499833793791,0.06474299767311308,1.3179824526312305,0.8971529677559956,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>]"
81,62,64,Stockholm,Vienna,"(59.3251172, 18.0710935)","(48.2083537, 16.3725042)",1242.2460275526757,0.017391444385737462,0.35404011785251255,0.2409957293452191,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
82,63,64,Antwerp,Vienna,"(51.2211097, 4.3997081)","(48.2083537, 16.3725042)",924.8729438032104,0.012948221213244945,0.26358878898391497,0.17942535109782282,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
83,61,65,Almaty,Basel,"(43.2363924, 76.9457275)","(47.5581077, 7.5878261)",5268.338135358463,0.07375673389501848,1.5014763685771617,1.0220575982595417,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>]"
84,62,65,Stockholm,Basel,"(59.3251172, 18.0710935)","(47.5581077, 7.5878261)",1479.315789779356,0.020710421056910986,0.42160500008711643,0.28698726321719503,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
85,63,65,Antwerp,Basel,"(51.2211097, 4.3997081)","(47.5581077, 7.5878261)",468.4404448372116,0.006558166227720963,0.1335055267786053,0.09087744629841904,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
86,64,66,Vienna,Paris,"(48.2083537, 16.3725042)","(48.8534951, 2.3483915)",1036.7746992731877,0.014514845789824628,0.2954807892928585,0.2011342916589984,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
87,65,66,Basel,Paris,"(47.5581077, 7.5878261)","(48.8534951, 2.3483915)",415.11340064515883,0.005811587609032224,0.11830731918387026,0.08053199972516081,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
88,66,67,Paris,Metz,"(48.8534951, 2.3483915)","(49.1196964, 6.1763552)",281.7030615851877,0.0039438428621926275,0.08028537255177849,0.05465039394752641,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
89,66,68,Paris,Gijon,"(48.8534951, 2.3483915)","(43.5449422, -5.66275)",853.8360937633599,0.01195370531268704,0.2433432867225576,0.16564420219009182,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
90,67,69,Metz,Turin,"(49.1196964, 6.1763552)","(45.0677551, 7.6824892)",464.7255434333472,0.006506157608066861,0.13244677987850392,0.09015675542606935,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
91,68,69,Gijon,Turin,"(43.5449422, -5.66275)","(45.0677551, 7.6824892)",1076.9263247676577,0.015076968546747206,0.30692400255878244,0.20892370700492557,"[<Mode.AIRPLANE: 0>, <Mode.CAR: 2>, <Mode.TRAIN: 1>]"
